gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
824851,2026-04-25,2,Oriole Park at Camden Yards,110,111,669432,676979
823070,2026-04-25,2889,Busch Stadium,138,136,669461,693433
822826,2026-04-25,14,Rogers Centre,141,114,592332,676282
823229,2026-04-25,2395,Oracle Park,137,146,592662,691587
822989,2026-04-25,12,Tropicana Field,139,142,663556,641927
824613,2026-04-25,4,Rate Field,145,120,702273,663623
825093,2026-04-25,5340,Estadio Alfredo Harp Helu,109,135,668678,608566
822910,2026-04-25,5325,Globe Life Field,140,133,669022,605488
824121,2026-04-25,7,Kauffman Stadium,118,108,666142,700712
824203,2026-04-25,2392,Daikin Park,117,147,681347,677960
823799,2026-04-25,32,American Family Field,158,134,694819,656605
824527,2026-04-25,2602,Great American Ball Park,113,116,663903,656427
823960,2026-04-25,22,UNIQLO Field at Dodger Stadium,119,112,808963,607067
824933,2026-04-25,4705,Truist Park,144,143,693821,554430
823637,2026-04-25,3289,Citi Field,121,115,673540,500779
