match_id,season,match_date,started,minute_on,minute_off,match_minutes,messi_minutes
3773386,2020/2021,2020-10-31,1,,,94.95,94.95
3773552,2020/2021,2021-01-03,1,,,92.1,92.1
3773593,2020/2021,2020-09-27,1,,,93.15,93.15
3773631,2020/2021,2021-02-07,0,56.55,,93.65,37.1
3773497,2020/2021,2021-04-10,1,,,94.1,94.1
3773565,2020/2021,2021-01-09,1,,64.55,91.88,64.55
3773672,2020/2021,2020-10-04,1,,,95.02,95.02
3773660,2020/2021,2020-12-13,1,,,95.48,95.48
3773466,2020/2021,2020-10-01,1,,,95.12,95.12
3773457,2020/2021,2021-05-16,1,,,93.47,93.47
3773585,2020/2021,2020-10-24,1,,,95.03,95.03
3773587,2020/2021,2020-10-17,1,,,97.22,97.22
3773665,2020/2021,2021-03-06,1,,,92.95,92.95
3773377,2020/2021,2020-12-19,1,,,93.12,93.12
3773656,2020/2021,2020-11-21,1,,,94.97,94.97
3773372,2020/2021,2021-05-08,1,,,92.45,92.45
3773387,2020/2021,2021-05-11,1,,,94.58,94.58
3773661,2020/2021,2021-04-22,1,,,93.05,93.05
3773695,2020/2021,2021-05-02,1,,,94.03,94.03
3773586,2020/2021,2021-04-29,1,,,94.6,94.6
3773597,2020/2021,2021-03-21,1,,,94.35,94.35
3773428,2020/2021,2020-12-05,1,,,95.1,95.1
3764661,2020/2021,2021-01-06,1,,,93.25,93.25
3773369,2020/2021,2021-03-15,1,,,93.25,93.25
3773571,2020/2021,2020-12-22,1,,,93.97,93.97
3773474,2020/2021,2021-04-05,1,,,94.03,94.03
3773403,2020/2021,2021-01-31,1,,,94.03,94.03
3773625,2020/2021,2021-02-27,1,,,93.95,93.95
3773547,2020/2021,2020-11-29,1,,,93.03,93.03
3773523,2020/2021,2020-12-16,1,,,94.88,94.88
3773689,2020/2021,2021-04-25,1,,,95.48,95.48
3773415,2020/2021,2021-02-21,1,,,95.23,95.23
3773526,2020/2021,2021-02-13,1,,,90.95,90.95
303731,2019/2020,2020-02-22,1,,,91.98,91.98
3764440,2020/2021,2021-02-24,1,,,92.98,92.98
303516,2019/2020,2020-06-27,1,,,95.33,95.33
3773477,2020/2021,2020-11-07,0,45.0,,95.18,50.18
303504,2019/2020,2019-11-02,1,,,94.03,94.03
303430,2019/2020,2019-09-24,1,,45.0,93.13,45.0
303451,2019/2020,2019-12-07,1,,,93.08,93.08
303532,2019/2020,2020-06-16,1,,,96.27,96.27
303682,2019/2020,2020-02-02,1,,,94.13,94.13
303400,2019/2020,2020-01-25,1,,,94.02,94.02
303664,2019/2020,2019-12-14,1,,,93.07,93.07
303634,2019/2020,2020-07-16,1,,,97.13,97.13
303725,2019/2020,2020-07-05,1,,,95.2,95.2
303596,2019/2020,2019-12-18,1,,,94.88,94.88
303680,2019/2020,2020-07-11,1,,,94.45,94.45
303493,2019/2020,2020-06-23,1,,,95.42,95.42
303479,2019/2020,2020-03-07,1,,,97.03,97.03
303421,2019/2020,2020-07-19,1,,,94.08,94.08
303600,2019/2020,2019-10-29,1,,,92.02,92.02
303548,2019/2020,2020-06-13,1,,,94.95,94.95
303674,2019/2020,2020-06-19,1,,,95.68,95.68
303470,2019/2020,2020-03-01,1,,,93.0,93.0
303666,2019/2020,2019-09-21,0,45.0,,93.25,48.25
303700,2019/2020,2019-10-19,1,,,93.07,93.07
303615,2019/2020,2020-07-08,1,,,95.73,95.73
303696,2019/2020,2020-06-30,1,,,94.12,94.12
303707,2019/2020,2020-02-09,1,,,94.02,94.02
303487,2019/2020,2019-11-09,1,,,92.07,92.07
303377,2019/2020,2020-02-15,1,,,93.42,93.42
303652,2019/2020,2020-01-04,1,,,94.58,94.58
303517,2019/2020,2019-12-21,1,,,93.97,93.97
303610,2019/2020,2020-01-19,1,,,93.03,93.03
303473,2019/2020,2019-10-06,1,,,93.27,93.27
16029,2018/2019,2018-10-20,1,,25.92,93.03,25.92
303715,2019/2020,2019-11-23,1,,,94.03,94.03
15998,2018/2019,2018-09-26,1,,,93.55,93.55
303524,2019/2020,2019-12-01,1,,,93.85,93.85
16086,2018/2019,2018-12-08,1,,,96.07,96.07
15978,2018/2019,2018-09-15,1,,,93.02,93.02
16190,2018/2019,2019-02-23,1,,,94.08,94.08
16073,2018/2019,2018-11-24,1,,,94.03,94.03
16182,2018/2019,2019-02-16,1,,,94.02,94.02
16109,2018/2019,2018-12-22,1,,,93.15,93.15
16215,2018/2019,2019-03-17,1,,,93.08,93.08
16157,2018/2019,2019-02-02,1,,,92.02,92.02
16173,2018/2019,2019-02-10,1,,,95.85,95.85
16120,2018/2019,2019-01-06,1,,,93.27,93.27
16248,2018/2019,2019-04-06,1,,,92.1,92.1
16289,2018/2019,2019-04-27,0,45.0,,92.37,47.37
16056,2018/2019,2018-11-11,1,,,94.92,94.92
16265,2018/2019,2019-04-20,1,,,94.03,94.03
15946,2018/2019,2018-08-18,1,,,92.52,92.52
16079,2018/2019,2018-12-02,1,,,93.98,93.98
15973,2018/2019,2018-09-02,1,,,93.02,93.02
16149,2018/2019,2019-01-27,1,,,93.05,93.05
16275,2018/2019,2019-04-23,0,60.73,,94.25,33.52
16317,2018/2019,2019-05-19,1,,,92.92,92.92
16136,2018/2019,2019-01-20,0,63.25,,97.0,33.75
16205,2018/2019,2019-03-09,1,,,92.07,92.07
16095,2018/2019,2018-12-16,1,,,92.02,92.02
16010,2018/2019,2018-09-29,0,54.53,,93.88,39.35
16240,2018/2019,2019-04-02,0,60.27,,93.87,33.6
16306,2018/2019,2019-05-12,1,,,94.2,94.2
15986,2018/2019,2018-09-23,1,,,93.12,93.12
16196,2018/2019,2019-03-02,1,,,94.6,94.6
16131,2018/2019,2019-01-13,1,,,93.03,93.03
16231,2018/2019,2019-03-30,1,,,94.63,94.63
9880,2017/2018,2018-04-14,1,,,93.83,93.83
9799,2017/2018,2018-02-17,1,,,93.02,93.02
9827,2017/2018,2018-03-01,1,,,96.1,96.1
16023,2018/2019,2018-10-07,1,,,91.98,91.98
9855,2017/2018,2018-03-18,1,,,92.03,92.03
9575,2017/2018,2017-08-20,1,,,93.07,93.07
15956,2018/2019,2018-08-25,1,,,94.6,94.6
9924,2017/2018,2018-05-06,1,,,94.78,94.78
9609,2017/2018,2017-09-19,1,,,92.1,92.1
9928,2017/2018,2018-05-09,1,,,93.77,93.77
9736,2017/2018,2017-12-23,1,,,93.18,93.18
9912,2017/2018,2018-04-29,1,,,91.98,91.98
9636,2017/2018,2017-10-01,1,,,92.12,92.12
9765,2017/2018,2018-01-21,1,,,92.02,92.02
9783,2017/2018,2018-02-04,0,58.1,,93.05,34.95
9592,2017/2018,2017-09-09,1,,,93.13,93.13
9661,2017/2018,2017-10-28,1,,,93.55,93.55
9870,2017/2018,2018-04-07,1,,,93.02,93.02
9695,2017/2018,2017-11-26,1,,,94.07,94.07
9860,2017/2018,2018-03-31,0,57.33,,92.12,34.78
9794,2017/2018,2018-02-11,1,,,93.68,93.68
9717,2017/2018,2017-12-10,1,,,93.0,93.0
9742,2017/2018,2018-01-07,1,,,93.97,93.97
9650,2017/2018,2017-10-21,1,,,93.02,93.02
9811,2017/2018,2018-02-24,1,,,93.08,93.08
9700,2017/2018,2017-12-02,1,,,95.97,95.97
9837,2017/2018,2018-03-04,1,,,93.05,93.05
9774,2017/2018,2018-01-28,1,,,93.12,93.12
9602,2017/2018,2017-09-16,1,,,93.02,93.02
9948,2017/2018,2018-05-20,0,66.88,,92.13,25.25
9682,2017/2018,2017-11-18,1,,,92.02,92.02
9620,2017/2018,2017-09-23,1,,,93.08,93.08
9581,2017/2018,2017-08-26,1,,,93.02,93.02
9673,2017/2018,2017-11-04,1,,,94.13,94.13
9726,2017/2018,2017-12-17,1,,,92.2,92.2
9754,2017/2018,2018-01-14,1,,,93.13,93.13
9642,2017/2018,2017-10-14,1,,,93.82,93.82
267569,2016/2017,2017-04-23,1,,,92.85,92.85
267212,2016/2017,2016-09-17,1,,,92.02,92.02
9889,2017/2018,2018-04-17,0,59.72,,93.13,33.42
266989,2016/2017,2016-11-06,1,,,93.15,93.15
266357,2016/2017,2016-12-10,1,,,92.93,92.93
266669,2016/2017,2016-09-10,0,59.52,,94.05,34.53
266892,2016/2017,2016-08-28,1,,,93.02,93.02
267670,2016/2017,2016-08-20,1,,,92.05,92.05
267039,2016/2017,2017-05-14,1,,,92.13,92.13
266477,2016/2017,2017-01-08,1,,,94.55,94.55
267101,2016/2017,2017-04-26,1,,62.73,92.02,62.73
267220,2016/2017,2016-09-21,1,,58.78,93.0,58.78
266440,2016/2017,2017-03-19,1,,,92.03,92.03
266033,2016/2017,2016-10-22,1,,,95.43,95.43
267660,2016/2017,2017-03-12,1,,,93.02,93.02
266516,2016/2017,2017-01-29,1,,,93.07,93.07
267395,2016/2017,2017-01-14,1,,,91.02,91.02
266273,2016/2017,2017-02-11,1,,,93.07,93.07
